ທະວີບອາຟະລິກ	Африка
ຄວາມສະເໝີພາກທາງເພດ	Равенство полов
ເຂົ້າຫນຽວ	Клейкий рис
ລັດທິ	Доктрина
ກະລັງກັງຢົງ	Большой каньон
ແມ່ນ້ຳເຈົ້າພະຍາ	Чаупхрая
ຊຸບເປີຄອມພິວເຕີ	Суперкомпьютер
ໂຄງສ້າງພື້ນຖານ	Инфраструктура
ໜູລ້າງນ້ຳ	Енот-полоскун
ຕົ້ນໂຣສ ເມຣີ	Розмарин лекарственный
ປະເທດທີ່ບໍ່ມີທາງອອກສູ່ທະເລ	Государства без выхода к морю
ເວັກເຕີ	Векторное пространство
ປຶ້ມເອເລັກໂຕຣນິກ	Электронная книга
ພາສີມູນຄ່າເພີ່ມ	Налог на добавленную стоимость
ພະເຈົ້າເອດູອາກທີ 3 ແຫ່ງອັງກິດ	Эдуард III
Mikoyan MiG-29	МиГ-29
ການພັດທະນາແບບຍືນຍົງ	Устойчивое развитие
ອ່າວໄທ	Сиамский залив
ການວາງແຜນຊັບພະຍາກອນຂອງອົງກອນ	ERP
ນິກາຍເຖຣະວາດ	Тхеравада
ໂທລະພາບຄວາມລະອຽດສູງ	Телевидение высокой чёткости
ທຸງຊາດໄທ	Флаг Таиланда
ພະຍຸໄຕ້ຝຸ່ນ	Тайфун
ດຸນການຊຳລະ	Платёжный баланс
ການຊອກຄ່າເໝາະສົມ (ຄະນິດສາດ)	Оптимизация (математика)
ພາສາຄູເພໂຍ	Купеньо (язык)
ລະດູແລ້ງ	Сухой сезон
Phu Quoc	Фукуок
ປະເທດລາວໃນໂອລິມປິກລະດູຮ້ອນ 2008	Лаос на летних Олимпийских играх 2008
ວິກິພີເດຍ:ຂໍໃຫ້ຂະຫຍາຍ	Википедия:Как править статьи
Leopard 2	Леопард 2
ວົງຜື	Осоковые
ເດຈາວູ	Дежавю
ເຄື່ອງຮັບວິທະຍຸ	Радиоприёмник
Eurocopter Tiger	Eurocopter Tiger
ເສດຖະກິດ	Экономика
ເອໂຄໂນເມທຣິກ	Эконометрика
ລາຄາ	Цена
ມະຫາວິທະຍາໄລເອແດມບວກ	Эдинбургский университет
ທາງລົດໄຟ	Железнодорожный путь
ສຳປະສິດຈິນີ	Коэффициент Джини
ກາຕະລີນແຫ່ງອາລາກົງ	Екатерина Арагонская
ໝາກເຜັດ	Красный перец
ບິກ	Ручка (канцелярия)
ໝາກກ້າຍ	Плантан
ທືນສັບພະຍາກອນມະນຸດ	Человеческий капитал
ການສະໜອງ ແລະ ຄວາມຕ້ອງການ	Закон спроса и предложения
ຊອດໄຂ່ແດງ	Майонез
ENIAC	ЭНИАК
ຊຸດຈຳນວນ	Числовой ряд
ພັດທະຍາ	Паттайя
ດອກເບ້ຍ	Процентный доход
ຫຸ່ນຍົນສາດ	Робототехника
Boeing AH-64 Apache	McDonnell Douglas AH-64 Apache
ອຸປະຕິເຫດ	Авария
ຢາງລຶບ	Стирательная резинка
ເຂື່ອນຮູເວີ	Плотина Гувера
ນູເມລິກ	Цифровой формат
ລະບົບມາດຕະຖານຄຳ	Золотой стандарт
Sukhoi Su-27	Су-27
ການບັນເທີງ	Развлечение
កាំ	Радиус
ມະຫາວິຫານແຊັງໂປນ	Собор Святого Павла
ຍິວວິທະຍາໄລຂອງເຢຣູຊາເລັມ	Еврейский университет в Иерусалиме
ມະຫາວິທະຍາໄລແຄລິຟໍເນຍ ລອດແອນເຈລິດ	Калифорнийский университет в Лос-Анджелесе
ຊັງຕີແມັດ	Сантиметр
ມິລີແມັດ	Миллиметр
ມິໂກຣແມັດ	Микрометр
ລາຍຊື່ປະເທດຮຽງຕາມຄວາມໜ້າແໜ້ນຂອງປະຊາກອນ	Список стран по плотности населения
ເສດຖະກິດຕົກຕໍ່າ	Рецессия
ເມນເຟຣມ	Мейнфрейм
ບໍ່ນ້ຳຮ້ອນ	Геотермальный источник
ເນັຕບຸກ	Нетбук
ນະໂຍບາຍເງິນຕາ	Денежно-кредитная политика государства
ນາໂນແມັດ	Нанометр
ການຄ້າສາກົນ	Международная торговля
ຈອຍສະຕິກ	Джойстик
ເທວະດາ	Божество
ອັດຕາດອກເບ້ຍ	Процентная ставка
ລົດໂຮງໝໍ	Автомобиль скорой помощи
ຈັງຫວັດພູເກັດ	Пхукет
ເສັ້ນສະແດງ	График функции
ສູດເຮລົງ	Формула Герона
ບັນທັດຖານວັດແທກ ລາຍໄດ້ ແລະ ຜົນຜະລິດ ແຫ່ງຊາດ	Валовой национальный продукт
ຕົ້ນທຶນໂອກາດ	Альтернативные издержки
ວົງເຫງັນ	Виверровые
ນະໂຍບາຍການເງິນ	Фискальная политика
ເຄື່ອງໝາຍຊາດຂອງໄທ	Эмблема Таиланда
ຕຳລາເສັ້ນຊື່	Линейная функция
ປະຊາທິປະໄຕແບບມີຜູ້ແທນ	Представительная демократия
ທະນາຄານພັດທະນາອາຊີ	Азиатский банк развития
ເນີຍແຂງລົກຟອກ	Рокфор
ການຂະຫຍາຍໂຕທາງເສດຖະກິດ	Экономический рост
ເມືອງຫຼວງພະບາງ	Луангпхабанг
ສົມເດັດພະລາຊາທິບະດີເຟລີເປທີ 6 ແຫ່ງແອສະປາຍ	Филипп VI (король Испании)
ວັນນະຍຸດ	Тон (лингвистика)
ນ້ຳເຕົ້າຮູ້	Соевое молоко
ການຊົມໃຊ້	Потребление
ປິໂກແມັດ	Пикометр
ເພດສຶກສາ	Половое просвещение
ການຕ່ຳ	Ткачество
ກະຊວງ	Министерство
ວັດຖຸດິບ	Сырьё
ຄອມພິວເຕີຣ໌ຈໍາລອງ	Виртуальная машина
ຈອງ	Половник (столовый прибор)
ລົດພະລັງງານໄຟຟ້າ	Электромобиль
ຫີນະຍານ	Хинаяна
Kang Dae Sung	Тэ Сон
Dassault Mirage 2000	Dassault Mirage 2000
ເງີນກີບລາວ	Лаосский кип
ເດຊີແມັດ	Дециметр
ຄວາມຮັ່ງມີ	Богатство
ເຄື່ອງໝາຍຊາດລາວ	Герб Лаоса
ພະຍາດໄລມ	Болезнь Лайма
ທໍ	Tor
ໂທລະພາບແບບດິຈິຕໍລ໌	Цифровое телевидение
ຕານ ສ່ວຍ	Тан Шве
ຮູບເງົາກາຕູນ	Мультфильм
ປະໂລແວງ	Провен
ຕຳລາຂັ້ນສາມ	Кубическое уравнение
Sukhoi Su-30	Су-30
ໂວນຟຣາມອານຟາ	WolframAlpha
ຈັງຫວັດຊົນບຸລີ	Чонбури (провинция)
ສິລະປະປະຍຸກ	Декоративно-прикладное искусство
ແວງກາແບກເນໂຊວີຍົງ	Каберне Совиньон
‍ໃບອະນຸຍາດຂອງຊອຟຕ໌ແວຣ໌	Лицензия на программное обеспечение
ເພງຊາດໄທ	Гимн Таиланда
ອາຊີອາຕິກ	Монголоидная раса
กงสุล	Консул (дипломат)
ລົດອັກຄີໄຟ	Пожарный автомобиль
ເຟັມໂຕແມັດ	Ферми (единица измерения)
ການທົດສອບສົມມຸດຕິຖານສະຖິຕິ	Проверка статистических гипотез
ປັດໃຈການຜະລິດ	Факторы производства
ສຸລິຍະຄະຕິ	Солнечный календарь
ລັດຖະບານເອເລັກໂຕຣນິກ	Электронное государство
ວາຈົກ	Залог (лингвистика)
ຜູ້ຊົມ	Публика
ພຶດຊະຄະນິດພື້ນຖານ	Элементарная алгебра
ແບບຈຳລອງ IS/LM	Модель IS-LM
ຟຣີແລນເຊີຣ	Фрилансер
ຄວາມໄດ້ປຽບທຽບຖານ	Теория сравнительных преимуществ
ພຣະໄຕຣປິດົກ	Палийский канон
ຄະລາວາດນິຍົມ	Секуляризм
ນັກໂທດການເມືອງ	Политический заключённый
ດອກຈຳປາ	Плюмерия
ສະໜາມບິນສາກົນວັດໄຕ	Ваттай (аэропорт)
າເປັນ	Анггун
ຄວາມຍືດຍຸ່ນ	Эластичность (экономика)
ຂະບວນການຄືນສູ່ເຢລູຊາເລມ	Назад в Иерусалим!
ຂົວມິດຕະພາບ ລາວ-ໄທ ແຫ່ງທີສອງ	Второй мост тайско-лаосской дружбы
ຈັງຫວັດຊຽງໃໝ່	Чиангмай (провинция)
ໂດລາເອມອນ	Дораэмон
ຈັງຫວັດສົງຂາ	Сонгкхла (провинция)
ຊາຍບອກ	Киборг
ຈັງຫວັດສະຕູນ	Сатун (провинция)
ອັກສອນໄທ	Тайское письмо
ຈັງຫວັດຊຽງຮາຍ	Чианграй (провинция)
ຈັງຫວັດກະບີ່	Краби (провинция)
ຈັງຫວັດປັດຕານີ	Паттани (провинция)
ຈັງຫວັດລະນອງ	Ранонг (провинция)
T-80	Т-80
ຈັງຫວັດພິຈິດ	Пхичит (провинция)
ຈັງຫວັດນະຄອນສະຫວັນ	Накхонсаван (провинция)
ຈັງຫວັດສຸລາດທານີ	Сураттани (провинция)
ຈັງຫວັດລຳປາງ	Лампанг (провинция)
ຈັງຫວັດເພັດຊະບູນ	Пхетчабун (провинция)
ຈັງຫວັດລຳພູນ	Лампхун (провинция)
ຈັງຫວັດຕາດ	Трат (провинция)
ຈັງຫວັດນົນທະບຸລີ	Нонтхабури (провинция)
ຈັງຫວັດຍະລາ	Яла (провинция)
ປະທານປະເທດ ແຫ່ງ ສປປ ລາວ	Список премьер-министров Японии
ໃບລາຍງານຜົນໄດ້ຮັບ	Отчёт о финансовых результатах
ຈັງຫວັດອຳນາດຈະເລີນ	Амнатчарен (провинция)
ຈັງຫວັດອ່າງທອງ	Ангтхонг (провинция)
ຈັງຫວັດຕັງ	Транг (провинция)
ຈັງຫວັດພັດທະລຸງ	Пхаттхалунг (провинция)
ຈັງຫວັດພະເຍົາ	Пхаяу (провинция)
ຈັງຫວັດປະຈວບຄີລີຂັນ	Прачуапкхирикхан (провинция)
ຈັງຫວັດອຸໄທທານີ	Утхайтхани (провинция)
ຈັງຫວັດແພ່	Пхрэ (провинция)
ຈັງຫວັດນະຄອນສີທຳມະລາດ	Накхонситхаммарат (провинция)
ຈັງຫວັດຊຸມພອນ	Чумпхон (провинция)
ຈັງຫວັດນ່ານ	Нан (провинция)
ຈັງຫວັດເພັດຊະບຸລີ	Пхетчабури (провинция)
ຄຳນາມປະສົມ	Сложное слово
ອ໋າວຢາຍ	Аозай
ໂທລະພາບແບບອະນາລ໊ອກ	Аналоговое телевидение
ລາຍຊື່ປະເທດລຽງຕາມພື້ນທີ່	Список государств и зависимых территорий по площади
ຈັງຫວັດແມ່ຮ່ອງສອນ	Мэхонгсон (провинция)
ລັດວິສາຫະກິດ	Государственное предприятие
ຈັງຫວັດນະລາທິວາດ	Наратхиват (провинция)
ຈັງຫວັດສະໝຸດປາການ	Самутпракан (провинция)
ຈັງຫວັດນະຄອນລາຊະສີມາ	Накхонратчасима (провинция)
ຈັງຫວັດສຸພັນບຸລີ	Супханбури (провинция)
ຈັງຫວັດພັງງາ	Пхангнга (провинция)
ປາຂ່າ(ໂລມາອີຣະວະດີ)	Иравадийский дельфин
ແລປົງ	Рапунцель
ຈັງຫວັດອຸຕະລະດິດ	Уттарадит (провинция)
ຈັງຫວັດກຳແພງເພັດ	Кампхэнгпхет (провинция)
ລະຄັງກຳປັນ	Рында (колокол)
Externality	Экстерналия
ຈັງຫວັດໄຊຍະພູມ	Чайяпхум (провинция)
ຈັງຫວັດເລີຍ	Лей (провинция)
ຈັງຫວັດການຈະນະບຸລີ	Канчанабури (провинция)
ຈັງຫວັດຕາກ	Так (провинция)
ຈັງຫວັດພິສະນຸໂລກ	Пхитсанулок (провинция)
ບໍລິການລົດເຊົ່າ	Прокат автомобилей
AIDC F-CK-1 Ching-kuo	AIDC F-CK-1
ເສດຖະວັດຖຸສາດ	Эконофизика
ຂົວເອີລັນ	Эландский мост
ເກໂກລີ ເລີມາກຊານ	Лемаршаль, Грегори
ແຂວງສາລະວັນ	Сараван (провинция)
ກ້ອງຖ່າຍວິດີໂອ	Видеокамера
ຄັງສຳຮອງເງິນຕາຕ່າງປະເທດ	Золотовалютные резервы
ຜູ້ໂດຍສານ	Пассажир
ສົມເດັດພະເຈົ້າກຸງທົນບຸລີ	Таксин (король Сиама)
ໄກສອນ ພົມວິຫານ	Фомвихан, Кейсон
ສຸພານຸວົງ	Суфанувонг
ຈັງຫວັດປາຈີນບຸລີ	Прачинбури (провинция)
ອຳນາດບໍລິຫານ	Орган публичной власти
ຈັງຫວັດບຸລີລຳ	Бурирам (провинция)
ຈັງຫວັດຂອນແກ່ນ	Кхонкэн (провинция)
ຈັງຫວັດຈັນທະບຸລີ	Чантхабури (провинция)
ຈັງຫວັດໜອງຄາຍ	Нонгкхай (провинция)
ຄົມມະນາຄົມ	Виды транспорта
ຈັງຫວັດສະໝຸດສາຄອນ	Самутсакхон (провинция)
ຈັງຫວັດສິງບຸລີ	Сингбури (провинция)
ຈັງຫວັດນະຄອນປະຖົມ	Наконпатом (провинция)
ແຂວງຜົ້ງສາລີ	Пхонгсали (провинция)
ແຂວງບໍ່ແກ້ວ	Бокэу
ແຂວງຈໍາປາສັກ	Тямпасак (провинция)
ຈັງຫວັດສະເຊີງເຊົາ	Чаченгсау (провинция)
ຈັງຫວັດລະຍອງ	Районг (провинция)
ຈັງຫວັດລາຊະບຸລີ	Ратчабури (провинция)
ຈັງຫວັດລົບບຸລີ	Лопбури (провинция)
ຈັງຫວັດສະລະບຸລີ	Сарабури (провинция)
ອາຍແກັສແຫຼວ	Сжиженные углеводородные газы
ສະຫະພາບໂທລະຄົມມະນາຄົມ	Международный союз электросвязи
ເຈົ້າມະຫາຊີວິດສີສະຫວ່າງວົງ	Сисаванг Вонг
ເຈົ້າສີສະຫວ່າງວັດທະນາ	Саванг Ватхана
ໜູຮັກ ພູມສະຫວັນ	Пхумсаван, Нухак
ຈັງຫວັດສີສະເກດ	Сисакет (провинция)
ຈັງຫວັດສຸໂຂໄທ	Сукхотхай (провинция)
ຈັງຫວັດສະແກ້ວ	Сакэу (провинция)
ຈັງຫວັດກາລະສິນ	Каласин (провинция)
ເມືອງປາກເຊ	Паксе
ລາວ (ຊົນເຜົ່າ)	Лао
ການກໍ່ສ້າງ	Строительство
ນະຄອນຫຼວງວຽງຈັນ	Вьентьян (префектура)
Henri Mouhot	Муо, Анри
ຂ່າ (ພືດ)	Альпиния галанга
ແອຣ໌ເອເຊຍ	AirAsia
ອາຂ່າ	Акха
Seung Ri	Сынни
ສົມເດັດພະສັນຕະປາປາຟຣັງຊົວ	Франциск (папа римский)
ຈັງຫວັດສະໝຸດສົງຄາມ	Самутсонгкхрам (провинция)
ຈັງຫວັດປະທຸມທານີ	Патхумтхани (провинция)
ຈັງຫວັດໄຊນາດ	Чайнат (провинция)
ໜີ້ຕ່າງປະເທດ	Внешний долг
ແຂວງໄຊຍະບູລີ	Сайнябули (провинция)
ໝາກຂີ້ຫູດ	Кафир-лайм
ແຂວງສະຫວັນນະເຂດ	Саваннакхет (провинция)
ແຂວງຊຽງຂວາງ	Сиангкхуанг
ແຂວງອຸດົມໄຊ	Удомсай
ຈັງຫວັດນະຄອນນາຍົກ	Накхоннайок (провинция)
ເສັ້ນໂຄ້ງບໍ່ຈຳແນກ	Кривая безразличия
ຈັງຫວັດມະຫາສາລະຄາມ	Махасаракам (провинция)
ພະເຈົ້າບຸເຣງນອງ	Байиннаун
ອຳເພີ	Ампхе
ຈັງຫວັດພະນະຄອນສີອະຍຸທະຍາ	Аюттхая (провинция)
ຕຳລາຂັ້ນສີ່	Уравнение четвёртой степени
ສະໜາມບິນສາກົນເຕິນເຊິນເຍິດ	Таншоннят
KAI T-50 Golden Eagle	KAI T-50 Golden Eagle
ປ່ອງຢ້ຽມປີ 2000	Windows 2000
ການຈັດການລູກຄ້າສໍາພັນ	Система управления взаимоотношениями с клиентами
Sukhoi Superjet 100	Sukhoi Superjet 100
7 ສິ່ງມະຫັດສະຈັນ	Семь чудес света
ໂສມງາມກັບເຈົ້າຊາຍອະສູນ	Красавица и чудовище
Choi Seung Hyun	T.O.P
Kwon Ji Yong	G-Dragon
ແຂວງຫົວພັນ	Хуапхан
ແຂວງອັດຕະປື	Аттапы
ອົງການ ຄວບຄຸມໄພສຸກເສີນລັດຖະບານກາງ	Федеральное агентство по управлению в чрезвычайных ситуациях (США)
ຈັງຫວັດຍະໂສທອນ	Ясотхон (провинция)
ແຂວງຄຳມ່ວນ	Кхаммуан
ຕຳລາຊີອີເອັສ	Функция CES
ຕຳລາການຜະລິດ	Производственная функция
ຄຳເມືອງ	Юан (язык)
ຜາສາດຫີນວັດພູ	Ват-Пху
ແຂວງເຊກອງ	Секонг
ການຄ້າ	Торговля
ຈຳນວນອະປົກກະຕິ	Иррациональное число
ຈຳປາສັກ	Тямпатсак (город)
ຄວາມລົ້ມເຫຼວຂອງຕະຫຼາດ	Фиаско рынка
ກາເຟອຽກລັງ	Кофе по-ирландски
ເພງຊາດລາວ	Гимн Лаоса
ໜູຖົງຊາຍ	Валлаби
ສວນຄົວ	Огород
ໝັງກາຕູນ	Истории в картинках
ຈັກຂັ້ນ	Разностная машина Чарльза Бэббиджа
ກູແຊກ	Гужеры
ເມືອງຫຼວງນໍ້າທາ	Луангнамтха (город)
ເອັນຣິໂຄ ເລັດຕາ	Летта, Энрико
Squadron (ການບິນ)	Эскадрилья
ລິງລົມ	Медленный лори
ລາຍຊື່ປະເທດຮຽງຕາມຈຳນວນປະຊາກອນ	Список стран по населению
7 ສິ່່ງມະຫັດສະຈັນຂອງໂລກ	Новые семь чудес света
ຄຳຂວັນປະຈຳຊາດ	Список национальных девизов
ຫ້ວຍຊາຍ	Хуайсай
ແຂວງວຽງຈັນ	Вьентьян (провинция)
ໄຮ້ເພດ	Асексуальность
ກອງປະຊຸມອາເຊັມ	АСЕМ
ໂຈດຊິງລາງວັນມິເລນຽມ	Задачи тысячелетия
ໂຜນ ກິ່ງເພດ	Кингпетч, Поне
ວັນ ລະຫວ່ງປະເທດ ຜູ້ໄຊ້ ມືຂ້າຍ	Международный день левши
ໄທໃຫຍ່	Шаны
ກະເທີຍ	Катой
ເນີຍແຂງຟ້າແກ່	Голубые сыры
ເສດຖະຄະນິດສາດ	Математическая экономика
ແຂວງຫຼວງພະບາງ	Луангпхабанг (провинция)
ເມືອງໄກສອນ ພົມວິຫານ	Саваннакхет (город)
ການບິນອະວະກາດ	Пилотируемый космический полёт
ການບິນລາວ	Lao Airlines
ພັກປະຊາຊົນປະຕິວັດລາວ	Народно-революционная партия Лаоса
ອາຊີໃຕ້	Южная Азия
ສະໜາມບິນສາກົນເຫຼ້າສຸດ	Дананг (аэропорт)
Harvard Mark I	Марк I (компьютер)
ນາຍົກລັດຖະມົນຕີ ແຫ່ງ ສປປ ລາວ	Премьер-министр Лаоса
BM-30 Smerch	Смерч (РСЗО)
ສາມຫຼ່ຽມຄຳ	Золотой треугольник
ເຂົ້າຈີ່ປາເຕ້	Паштет
ກິໂລແມັດ	Километр
ລົດມ້າ	Конка
ທິດສະດີຜູ້ຊົມໃຊ້	Теория потребления
ດຸນຍະພາບເສດຖະກິດ	Экономическое равновесие
Halo effect	Гало-эффект
ອານາຈັກອະຍຸທະຍາ	Аютия (государство)
ຄອມພິວເຕີຣ໌ນ້ອຍຕໍ່ເດັກນ້ອຍຫນຶ່ງຄົນ	One Laptop Per Child
ປະລິມານເງິນ	Денежная масса
ຜົນປະໂຫຍດຂອບເຂດ (ເສດຖະສາດ)	Предельная полезность
McDonnell Douglas F-15E Strike Eagle	McDonnell Douglas F-15E Strike Eagle
ເຂດພິເສດໄຊສົມບູນ	Сайсомбун
ຄອບ-ດັກລາສ	Функция Кобба — Дугласа
ເສດຖະສາດສະຫວັດດີການ	Экономика благосостояния
ອານາຈັກລ້ານຊ້າງ	Лансанг
VietJet Air	VietJet Air
ຮູບສອງແຈ	Двуугольник
ອານາຈັກສຸໂຂໄທ	Сукхотаи (царство)
ຊີເກມສ໌	Игры Юго-Восточной Азии
ຊ່ວຍເຫຼືອ:ເນື້ອໃນ	Википедия:Справка
ຂົວມິດຕະພາບ ລາວ-ໄທ ແຫ່ງທຳອິດ	Мост тайско-лаосской дружбы
ຊຸດໂຣບົດ	Экзоскелет
ແຂວງຫຼວງນໍ້າທາ	Луангнамтха (провинция)
ນ້ຳອູ	У (река)
ເຄື່ອງເຮັດເຂົ້າຈີ່	Хлебопечка
ທ່າແຂກ	Тхакхэк
ຊຽງຕຸງ	Чёнгтун
ລົດຮັບສົ່ງເດີ່ນຍົນ	Перронный автобус
ຮັກຕ່າງເພດ	Гетеросексуальность
ຕົ້ມຍຳ	Том ям
ក	Кхмерское письмо
ອານາຈັກລ້ານນາ	Ланна
ພະລັງງານຂັ້ນຕົ້ນ	Первичная энергия
ພະທາດຫຼວງ	Пха Тхатлуанг
ຮູບໜຶ່ງແຈ	Одноугольник
ຊີເກມສ໌ ‍2009	Игры Юго-Восточной Азии 2009
ກິເລດ	Клеша
ຕຳບົນ	Тамбон
ອານາຈັກທົນບຸລີ	Тхонбури (королевство)
ການວິໄຈການຕະຫລາດ	Маркетинговое исследование
ຫຼັກເກນ ເຮັກເຊີ=ໂອລີນ	Теория Хекшера — Олина
ການຄາດຫວັງແບບດັດສົມ	Теория адаптивных ожиданий
ສະພາແຫ່ງຊາດ	Парламент Лаоса
ພິດຕີ້ຄຽວ	Pretty Cure
ໂຣບົດທະຫານ	Боевой робот
ຈຳນວນປົກກະຕິ	Рациональное число
ເດີ່ນຍົນ	Аэропорт
ຂົວມິດຕະພາບລາວ-ໄທ ແຫ່ງທີ 3	Третий мост тайско-лаосской дружбы
ລະບອບການປົກຄອງ	Форма государственного правления
ພຣະໄຕປິດົກ	Трипитака
​Vishnu Purana​	Вишну-пурана
ຄວາມຂາດແຄນທາງເສດຖະກິດ	Товарный дефицит
ກີ່ຄິດໄລ່ Jacquard	Жаккардовый ткацкий станок
ເນື້ອທີ່ໜ້າພຽງ	Площадь поверхности
ໝວດ:ປະເທດເຢັຽລະມັນ	Категория:Германия
ໝວດ:ສະຫະລັດອາເມລິກາ	Категория:США
ໝວດ:ປະເທດການາດາ	Категория:Канада
ໝວດ:ສະຫະລາຊະອານາຈັກ	Категория:Великобритания
ໝວດ:ປະເທດແອສະປາຍ	Категория:Испания
ໝວດ:ປະເທດຍີ່ປຸ່ນ	Категория:Япония
ຈຸດແລກປ່ຽນທາງອິນເຕີຣ໌ເນັຕ	Точка обмена интернет-трафиком
ເສດຖະປະຫວັດສາດ	Клиометрика
ຫໍພະແກ້ວ	Хо Пха Кео
ປະຕູໄຊ	Триумфальная арка Патусай
ໝວດ:ປະເທດເກົາຫຼີໃຕ້	Категория:Южная Корея
ໝວດ:ປະເທດໄທ	Категория:Таиланд
ໝວດ:ປະເທດຫວຽດນາມ	Категория:Вьетнам
ໝວດ:ສັດລ້ຽງລູກດ້ວຍນ້ຳນົມ	Категория:Млекопитающие
ໝວດ:ພືດ	Категория:Растения
ໝວດ:ວັດຖຸວິທະຍາ	Категория:Физика
ໝວດ:ຊີວະສາດ	Категория:Биология
ໝວດ:ປະຫວັດສາດ	Категория:История
ໝວດ:ພູມສາດ	Категория:География
ໝວດ:ສັງຄົມ	Категория:Общество
ໝວດ:ສາສະໜາ	Категория:Религия
ໝວດ:ກິລາ	Категория:Спорт
ໝວດ:ສາດ	Категория:Наука
ໝວດ:ສະຫະປະຊາຊາດ	Категория:ООН
ໝວດ:ມໍລະດົກໂລກ	Категория:Всемирное наследие
ໝວດ:ໂລກ	Категория:Земля
ໝວດ:ອາວະກາດ	Категория:Космос
ໝວດ:ຂໍ້ມູນຂ່າວສານ	Категория:Информация
ລາຍໄດ້	Доход
ໂມເດລຄວາມດຶງດູດການຄ້າ	Гравитационная модель
ພາສາທີວີ	Тиви (язык)
ໄອຊິກ	Международная стандартная отраслевая классификация
Airbus A318	Airbus A318
ຍອດຄວາມຕ້ອງການ	Совокупный спрос
ອັກສອນລາວ	Лаосское письмо
ອຸໂບສົດ	Убосот
ໝວດ:ນິເວດສາດ	Категория:Экология
ຊາດຊາຍ ຊ່ຽວນ້ອຍ	Чионой, Чарчай
ໝວດ:ພຸດທະສາສະໜາ	Категория:Буддизм
ໝວດ:ຄຣິສຕະສາດສະໜາ	Категория:Христианство
ໝວດ:ສາສະໜາອິສະລາມ	Категория:Ислам
ລວມຕຳລາຄະນິດສາດ	Проект:Математика/Списки/Список математических функций
ການຂາຍເມຍໃນປະເທດອັງກິດ	Продажа жены в Англии
ເມືອງວຽງໄຊ	Пещеры Вьенгсай
ໂພຊະນາການ	Диетология
ແຂວງບໍລິຄຳໄຊ	Боликхамсай
ສິນຄ້າ (ທຸລະກິດ)	Продукт (бизнес)
ລັດອິດສະລາມອີຣັກແລະເຣເວນທ໌	Исламское государство Ирака и Леванта
ລື້	Лы (народ)
ການທ່ອງທ່ຽວໃນປະເທດລາວ	Туризм в Лаосе
ການຄົມມະນາຄົມໃນປະເທດລາວ	Транспорт в Лаосе
ພະມະຫາກະສັດໄທ	Короли Сиама
ວັດຊຽງທອງ	Ват Сиенг Тхонг
ຄ່າສະເຫຼ່ຍ	Среднее значение
ການຈັດການ	Менеджмент
ໝວດ:ວັດທະນະທຳ	Категория:Культура
ໝວດ:ຄວາມຮູ້	Категория:Знание
ໝວດ:ທະວີບ	Категория:Континенты
ໝວດ:ທໍລະນີສາດ	Категория:Геология
ໝວດ:ພາສາ: ເຮືອບິນ	Категория:Воздушные суда
ຮູດີສ	Хуситы
ສະບາຍດີ ຫລວງພະບາງ	Сабади Луангпрабанг
ລະດູຝົນ	Сезон дождей
ຕົ້ມດອກໄຂ່	Даньхуатан
ອອກໂຕດົກ	Православие
ວົງຍ່ອຍສິງທະເລ	Морские львы
ພາສາພວນ	Пхуанский язык
ໝວດ:ນັກສະແດງ	Категория:Актёры
ແມ່ແບບ:Tl	Шаблон:Tl
ແມ່ແບບ:Wikipedialang	Шаблон:Wikipedialang
ໝວດ:ປະເທດ	Категория:Страны
ໝວດ:ເສດຖະສາດ	Категория:Экономика
ວິກິພີເດຍ:ຜູ້ບໍລິຫານ	Википедия:Администраторы
ໝວດ:ອາຊີບ	Категория:Профессии
ໝວດ:ເວລາ	Категория:Время
ໝວດ:ທຳມະຊາດ	Категория:Природа
ໝວດ:ອິນເຕີເນັດ	Категория:Интернет
ໝວດ:ວັດສະດຸ	Категория:Материалы
ໝວດ:ແພດສາດ	Категория:Медицина
​Brahma Sampradaya​	Брахма-сампрадая
ໝວດ:ການເມືອງ	Категория:Политика
ໝວດ:ການສຶກສາ	Категория:Образование
ໝວດ:ສິລະປະ	Категория:Искусство
ໝວດ:ຊອຟແວ	Категория:Программное обеспечение
ລາຍຊື່ພາສາຄອມພິວເຕີຕາມເຄົ້າ	Генеалогический список языков программирования
​Kumara Sampradaya​	Нимбарка-сампрадая
ก	Кокай
ກ	Кокай (лаосский)
ແມ່ແບບ:Bot	Шаблон:Bot
ອັກສອນມອນ	Монское письмо
ປະເທດການາດາ	Канада
ໝວດ:ບົດຄວາມດີເດັ່ນ	Категория:Википедия:Избранные статьи
ຄວາມຕ້ອງການ (ເສດຖະສາດ)	Платёжеспособный спрос
ໂຕທຳລາວ	Туа-тхам
ທາດດຳ	Тхат Дам
ເກມຄອມພິວເຕີ	PC-игра
ຜົນປະໂຫຍດ (ເສດຖະສາດ)	Функция полезности
ແມ່ແບບ:Flagicon	Шаблон:Флаг
ໝວດ:ເອີລົບ	Категория:Европа
ໝວດ:ພາສາ: ຫຼັກການແບ່ງປະເພດຫົວຂໍ້	Категория:Классификация по главным темам
ແມ່ແບບ:ຄູ່ມືການໃຊ້ງານ	Шаблон:Doc
ໝວດ:ຜູ້ໃຊ້ແບ່ງຕາມພາສາ	Категория:Википедия:Участники по языкам
ວິກິພີເດຍ:ຫ້າຫຼັກການ	Википедия:Пять столпов
